2024-05-21 14:47:55 - INFO - [105, 12, 16, 12, 31] is search
2024-05-21 14:47:56 - INFO - search [105, 12, 16, 12, 31], it's base url is https://judgment.judicial.gov.tw/FJUD/qryresultlst.aspx?ty=JUDBOOK&q=305df42e4b7403d6afa8baa311a6e376
2024-05-21 14:47:56 - WARNING - [105, 12, 16, 12, 31] need to minimize split date interval, otherwise data shortage!!
2024-05-21 14:47:59 - INFO - id_id:1, search [105, 12, 16, 12, 31], case_number:1 is ok
2024-05-21 14:48:01 - INFO - id_id:2, search [105, 12, 16, 12, 31], case_number:2 is ok
2024-05-21 14:48:04 - INFO - id_id:3, search [105, 12, 16, 12, 31], case_number:3 is ok
2024-05-21 14:48:06 - INFO - id_id:4, search [105, 12, 16, 12, 31], case_number:4 is ok
2024-05-21 14:48:08 - INFO - id_id:5, search [105, 12, 16, 12, 31], case_number:5 is ok
2024-05-21 14:48:10 - INFO - id_id:6, search [105, 12, 16, 12, 31], case_number:6 is ok
2024-05-21 14:48:12 - INFO - id_id:7, search [105, 12, 16, 12, 31], case_number:7 is ok
2024-05-21 14:48:14 - INFO - id_id:8, search [105, 12, 16, 12, 31], case_number:8 is ok
2024-05-21 14:48:17 - INFO - id_id:9, search [105, 12, 16, 12, 31], case_number:9 is ok
2024-05-21 14:48:19 - INFO - id_id:10, search [105, 12, 16, 12, 31], case_number:10 is ok
2024-05-21 14:48:21 - INFO - id_id:11, search [105, 12, 16, 12, 31], case_number:11 is ok
2024-05-21 14:48:23 - INFO - id_id:12, search [105, 12, 16, 12, 31], case_number:12 is ok
2024-05-21 14:48:25 - INFO - id_id:13, search [105, 12, 16, 12, 31], case_number:13 is ok
2024-05-21 14:48:37 - INFO - 14:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDM%2c105%2c%e6%a1%83%e7%b0%a1%2c2523%2c20161230%2c1&ot=in not found...laws, it's ok
2024-05-21 14:48:48 - INFO - id_id:14, search [105, 12, 16, 12, 31], case_number:14 is ok
2024-05-21 14:48:50 - INFO - id_id:15, search [105, 12, 16, 12, 31], case_number:15 is ok
2024-05-21 14:48:52 - INFO - id_id:16, search [105, 12, 16, 12, 31], case_number:16 is ok
2024-05-21 14:48:54 - INFO - id_id:17, search [105, 12, 16, 12, 31], case_number:17 is ok
2024-05-21 14:48:56 - INFO - id_id:18, search [105, 12, 16, 12, 31], case_number:18 is ok
2024-05-21 14:48:58 - INFO - id_id:19, search [105, 12, 16, 12, 31], case_number:19 is ok
2024-05-21 14:49:14 - INFO - 20:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CHDM%2c105%2c%e7%b0%a1%2c2278%2c20161230%2c1&ot=in not found...history, may be critical error
2024-05-21 14:49:29 - INFO - id_id:20, search [105, 12, 16, 12, 31], case_number:20 is ok
2024-05-21 14:49:32 - INFO - id_id:21, search [105, 12, 16, 12, 31], case_number:21 is ok
2024-05-21 14:49:34 - INFO - id_id:22, search [105, 12, 16, 12, 31], case_number:22 is ok
2024-05-21 14:49:37 - INFO - id_id:23, search [105, 12, 16, 12, 31], case_number:23 is ok
2024-05-21 14:49:39 - INFO - id_id:24, search [105, 12, 16, 12, 31], case_number:24 is ok
2024-05-21 14:49:41 - INFO - id_id:25, search [105, 12, 16, 12, 31], case_number:25 is ok
2024-05-21 14:49:43 - INFO - id_id:26, search [105, 12, 16, 12, 31], case_number:26 is ok
2024-05-21 14:49:45 - INFO - id_id:27, search [105, 12, 16, 12, 31], case_number:27 is ok
2024-05-21 14:49:47 - INFO - id_id:28, search [105, 12, 16, 12, 31], case_number:28 is ok
2024-05-21 14:49:50 - INFO - id_id:29, search [105, 12, 16, 12, 31], case_number:29 is ok
2024-05-21 14:49:52 - INFO - id_id:30, search [105, 12, 16, 12, 31], case_number:30 is ok
2024-05-21 14:49:54 - INFO - id_id:31, search [105, 12, 16, 12, 31], case_number:31 is ok
2024-05-21 14:49:56 - INFO - id_id:32, search [105, 12, 16, 12, 31], case_number:32 is ok
2024-05-21 14:49:58 - INFO - id_id:33, search [105, 12, 16, 12, 31], case_number:33 is ok
2024-05-21 14:50:00 - INFO - id_id:34, search [105, 12, 16, 12, 31], case_number:34 is ok
2024-05-21 14:50:02 - INFO - id_id:35, search [105, 12, 16, 12, 31], case_number:35 is ok
2024-05-21 14:50:04 - INFO - id_id:36, search [105, 12, 16, 12, 31], case_number:36 is ok
2024-05-21 14:50:06 - INFO - id_id:37, search [105, 12, 16, 12, 31], case_number:37 is ok
2024-05-21 14:50:08 - INFO - id_id:38, search [105, 12, 16, 12, 31], case_number:38 is ok
2024-05-21 14:50:10 - INFO - id_id:39, search [105, 12, 16, 12, 31], case_number:39 is ok
2024-05-21 14:50:12 - INFO - id_id:40, search [105, 12, 16, 12, 31], case_number:40 is ok
2024-05-21 14:50:15 - INFO - id_id:41, search [105, 12, 16, 12, 31], case_number:41 is ok
2024-05-21 14:50:17 - INFO - id_id:42, search [105, 12, 16, 12, 31], case_number:42 is ok
2024-05-21 14:50:20 - INFO - id_id:43, search [105, 12, 16, 12, 31], case_number:43 is ok
2024-05-21 14:50:26 - INFO - id_id:44, search [105, 12, 16, 12, 31], case_number:44 is ok
2024-05-21 14:50:28 - INFO - id_id:45, search [105, 12, 16, 12, 31], case_number:45 is ok
2024-05-21 14:50:30 - INFO - id_id:46, search [105, 12, 16, 12, 31], case_number:46 is ok
2024-05-21 14:50:33 - INFO - id_id:47, search [105, 12, 16, 12, 31], case_number:47 is ok
2024-05-21 14:50:35 - INFO - id_id:48, search [105, 12, 16, 12, 31], case_number:48 is ok
2024-05-21 14:50:37 - INFO - id_id:49, search [105, 12, 16, 12, 31], case_number:49 is ok
2024-05-21 14:50:39 - INFO - id_id:50, search [105, 12, 16, 12, 31], case_number:50 is ok
2024-05-21 14:50:42 - INFO - id_id:51, search [105, 12, 16, 12, 31], case_number:51 is ok
2024-05-21 14:50:44 - INFO - id_id:52, search [105, 12, 16, 12, 31], case_number:52 is ok
2024-05-21 14:50:46 - INFO - id_id:53, search [105, 12, 16, 12, 31], case_number:53 is ok
2024-05-21 14:50:48 - INFO - id_id:54, search [105, 12, 16, 12, 31], case_number:54 is ok
2024-05-21 14:51:00 - INFO - id_id:55, search [105, 12, 16, 12, 31], case_number:55 is ok
2024-05-21 14:51:03 - INFO - id_id:56, search [105, 12, 16, 12, 31], case_number:56 is ok
2024-05-21 14:51:05 - INFO - id_id:57, search [105, 12, 16, 12, 31], case_number:57 is ok
2024-05-21 14:51:07 - INFO - id_id:58, search [105, 12, 16, 12, 31], case_number:58 is ok
2024-05-21 14:51:09 - INFO - id_id:59, search [105, 12, 16, 12, 31], case_number:59 is ok
2024-05-21 14:51:11 - INFO - id_id:60, search [105, 12, 16, 12, 31], case_number:60 is ok
2024-05-21 14:51:13 - INFO - id_id:61, search [105, 12, 16, 12, 31], case_number:61 is ok
2024-05-21 14:51:15 - INFO - id_id:62, search [105, 12, 16, 12, 31], case_number:62 is ok
2024-05-21 14:51:17 - INFO - id_id:63, search [105, 12, 16, 12, 31], case_number:63 is ok
2024-05-21 14:51:20 - INFO - id_id:64, search [105, 12, 16, 12, 31], case_number:64 is ok
2024-05-21 14:51:22 - INFO - id_id:65, search [105, 12, 16, 12, 31], case_number:65 is ok
2024-05-21 14:51:24 - INFO - id_id:66, search [105, 12, 16, 12, 31], case_number:66 is ok
2024-05-21 14:51:26 - INFO - id_id:67, search [105, 12, 16, 12, 31], case_number:67 is ok
2024-05-21 14:51:28 - INFO - id_id:68, search [105, 12, 16, 12, 31], case_number:68 is ok
2024-05-21 14:51:30 - INFO - id_id:69, search [105, 12, 16, 12, 31], case_number:69 is ok
2024-05-21 14:51:32 - INFO - id_id:70, search [105, 12, 16, 12, 31], case_number:70 is ok
2024-05-21 14:51:34 - INFO - id_id:71, search [105, 12, 16, 12, 31], case_number:71 is ok
2024-05-21 14:51:37 - INFO - id_id:72, search [105, 12, 16, 12, 31], case_number:72 is ok
2024-05-21 14:51:39 - INFO - id_id:73, search [105, 12, 16, 12, 31], case_number:73 is ok
2024-05-21 14:51:41 - INFO - id_id:74, search [105, 12, 16, 12, 31], case_number:74 is ok
2024-05-21 14:51:43 - INFO - id_id:75, search [105, 12, 16, 12, 31], case_number:75 is ok
